name;gender;age;edu_level;fav_animals;sweet_or_salty;fav_place
Marcelina;Female;35-44;Primary;Cats;Sweet;Mountains
Kaja;Female;45-54;Primary;Dogs;Sweet;Lake
Witold;Male;25-34;Primary;Cats;Sweet;Forest
Kornel;Male;45-54;Primary;Dogs;Sweet;Lake
Fryderyk;Male;45-54;Primary;Dogs;Sweet;Lake
Dawid;Male;35-44;Primary;Cats;Salty;Mountains
Maciej;Male;45-54;Primary;Dogs;Salty;Other
Józef;Male;45-54;Primary;Dogs;Sweet;Forest
Sebastian;Male;25-34;Primary;Cats;No data;No data
Maks;Male;45-54;Primary;No preferences;Salty;Lake
Ryszard;Male;45-54;Primary;Other;Sweet;Forest
Piotr;Male;45-54;Primary;Dogs;Sweet;Forest
Jakub;Male;25-34;Primary;Dogs;Sweet;Mountains
Kacper;Male;45-54;Primary;Other;Sweet;Mountains
Aleks;Male;18-24;Primary;Dogs;Salty;Lake
Tymon;Male;35-44;Primary;Dogs;Sweet;Lake
Alex;Male;45-54;Primary;Dogs;Salty;Forest
Emil;Male;>=65;Primary;Dogs;Sweet;Lake
Witold;Male;35-44;Primary;Cats;Sweet;Mountains
Błażej;Male;35-44;Primary;Dogs;Salty;Other
Adrianna;Female;45-54;Primary;Dogs;Sweet;No data
Dariusz;Male;45-54;Primary;Other;Sweet;Lake
Jakub;Male;35-44;Primary;No preferences;Sweet;Forest
Tymon;Male;18-24;Primary;Dogs;Salty;Mountains
Witold;Male;35-44;Primary;Dogs;Salty;Lake
Rafał;Male;45-54;Primary;Cats;Salty;Forest
Ignacy;Male;35-44;Primary;Other;Sweet;Mountains
Mariusz;Male;55-64;Primary;Dogs;Sweet;Lake
Dariusz;Male;35-44;Primary;Cats;Salty;Mountains
Olgierd;Male;35-44;Primary;Dogs;Sweet;Mountains
Marcelina;Female;45-54;Primary;Dogs;Sweet;Forest
Aniela;Female;35-44;Primary;Dogs;Salty;Lake
Jacek;Male;18-24;Primary;Other;Sweet;Mountains
